account_id,opportunity,value,stage,probability
ACC001,Enterprise AI Rollout,122885,Discovery,89
ACC002,Enterprise AI Rollout,150832,Discovery,59
ACC003,Enterprise AI Rollout,149989,Discovery,40
ACC004,Enterprise AI Rollout,239007,Discovery,52
ACC005,Enterprise AI Rollout,231398,Discovery,47
ACC006,Enterprise AI Rollout,246935,Discovery,62
ACC007,Enterprise AI Rollout,173704,Discovery,90
ACC008,Enterprise AI Rollout,235586,Discovery,47
ACC009,Enterprise AI Rollout,64224,Discovery,44
ACC010,Enterprise AI Rollout,203440,Discovery,43
ACC011,Enterprise AI Rollout,139573,Discovery,44
ACC012,Enterprise AI Rollout,123213,Discovery,69
ACC013,Enterprise AI Rollout,57173,Discovery,76
ACC014,Enterprise AI Rollout,154291,Discovery,63
ACC015,Enterprise AI Rollout,123160,Discovery,86
ACC016,Enterprise AI Rollout,206339,Discovery,50
ACC017,Enterprise AI Rollout,132537,Discovery,60
ACC018,Enterprise AI Rollout,144625,Discovery,73
ACC019,Enterprise AI Rollout,237343,Discovery,72
ACC020,Enterprise AI Rollout,141375,Discovery,40
