account_id,website_summary,tech_stack,buying_signal
ACC001,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC002,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC003,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC004,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC005,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC006,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC007,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC008,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC009,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC010,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC011,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC012,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC013,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC014,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC015,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC016,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC017,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC018,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC019,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
ACC020,Hiring AI engineers,"FastAPI,Kubernetes,PostgreSQL",Hiring
