account_id,source,note
ACC001,Sales,CTO is key decision maker
ACC002,Sales,CTO is key decision maker
ACC003,Sales,CTO is key decision maker
ACC004,Sales,CTO is key decision maker
ACC005,Sales,CTO is key decision maker
ACC006,Sales,CTO is key decision maker
ACC007,Sales,CTO is key decision maker
ACC008,Sales,CTO is key decision maker
ACC009,Sales,CTO is key decision maker
ACC010,Sales,CTO is key decision maker
ACC011,Sales,CTO is key decision maker
ACC012,Sales,CTO is key decision maker
ACC013,Sales,CTO is key decision maker
ACC014,Sales,CTO is key decision maker
ACC015,Sales,CTO is key decision maker
ACC016,Sales,CTO is key decision maker
ACC017,Sales,CTO is key decision maker
ACC018,Sales,CTO is key decision maker
ACC019,Sales,CTO is key decision maker
ACC020,Sales,CTO is key decision maker
