account_id,activity
ACC001,Research Completed
ACC002,Research Completed
ACC003,Research Completed
ACC004,Research Completed
ACC005,Research Completed
ACC006,Research Completed
ACC007,Research Completed
ACC008,Research Completed
ACC009,Research Completed
ACC010,Research Completed
ACC011,Research Completed
ACC012,Research Completed
ACC013,Research Completed
ACC014,Research Completed
ACC015,Research Completed
ACC016,Research Completed
ACC017,Research Completed
ACC018,Research Completed
ACC019,Research Completed
ACC020,Research Completed
