account_id,source,target,relationship
ACC001,Company,CTO,decision_maker
ACC002,Company,CTO,decision_maker
ACC003,Company,CTO,decision_maker
ACC004,Company,CTO,decision_maker
ACC005,Company,CTO,decision_maker
ACC006,Company,CTO,decision_maker
ACC007,Company,CTO,decision_maker
ACC008,Company,CTO,decision_maker
ACC009,Company,CTO,decision_maker
ACC010,Company,CTO,decision_maker
ACC011,Company,CTO,decision_maker
ACC012,Company,CTO,decision_maker
ACC013,Company,CTO,decision_maker
ACC014,Company,CTO,decision_maker
ACC015,Company,CTO,decision_maker
ACC016,Company,CTO,decision_maker
ACC017,Company,CTO,decision_maker
ACC018,Company,CTO,decision_maker
ACC019,Company,CTO,decision_maker
ACC020,Company,CTO,decision_maker
